,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
4,georgetown,5.41,100.34,80.6,88,20,1.12,MY,1607302401
410,sapa,5.15,120.32,83.95,72,10,0.72,PH,1607302455
420,pemba,-12.97,40.52,80.6,88,20,4.7,MZ,1607302457
497,black river,18.03,-77.85,80.6,78,20,3.36,JM,1607302467
523,palauig,15.44,119.9,85.28,65,3,1.07,PH,1607302470
